BSSID,Sinal_strength
wap-0563-130,44:12:44:6d:c5:70,-56.4
wap-0563-121,44:12:44:6c:77:20,-59.083333333333336
wap-0563-111,44:12:44:6a:74:d0,-60.0
wap-0563-109,44:12:44:6d:02:d0,-56.5
wap-0563-103,44:12:44:6b:3a:70,-55.5
wap-0563-107,44:12:44:6d:b3:70,-50.6
wap-0563-105,44:12:44:69:f4:60,-56.0
wap-0563-102,44:12:44:6c:1a:b0,-58.0
wap-0563-112,44:12:44:6e:10:d0,-61.333333333333336
wap-0563-115,44:12:44:6b:39:20,-53.44444444444444
wap-0563-118,44:12:44:6e:f5:00,-62.0
Unknown,FF-FF-FF-FF-FF-FF,-100.0
wap-0563-122,44:12:44:6b:00:50,-54.72
wap-0563-124,44:12:44:6a:b0:10,-60.12
wap-0563-132,44:12:44:6a:4c:e0,-60.6
wap-0563-131,44:12:44:69:76:00,-49.333333333333336
wap-0563-129,44:12:44:6b:03:50,-53.6
wap-0563-119,44:12:44:6d:1e:00,-55.0
