Access_Point_Name,BSSID-MAC,SSID-2.4_and_5 

wap-0563-20,44:12:44:6c:50:80,IllinoisNet

wap-0563-20,44:12:44:6c:50:82,IllinoisNet_Guest

wap-0563-20,44:12:44:6c:50:81,eduroam

wap-0563-20,44:12:44:6c:50:62,IllinoisNet_Guest

wap-0563-20,44:12:44:6c:50:61,eduroam

wap-0563-20,44:12:44:6c:50:60,IllinoisNet

wap-0563-21,44:12:44:6e:40:10,IllinoisNet

wap-0563-21,44:12:44:6e:40:12,IllinoisNet_Guest

wap-0563-21,44:12:44:6e:40:11,eduroam

wap-0563-21,44:12:44:6e:3f:f2,IllinoisNet_Guest

wap-0563-21,44:12:44:6e:3f:f1,eduroam

wap-0563-21,44:12:44:6e:3f:f0,IllinoisNet

wap-0563-22,44:12:44:6a:eb:21,eduroam

wap-0563-22,44:12:44:6a:eb:22,IllinoisNet_Guest

wap-0563-22,44:12:44:6a:eb:20,IllinoisNet

wap-0563-22,44:12:44:6a:eb:02,IllinoisNet_Guest

wap-0563-22,44:12:44:6a:eb:01,eduroam

wap-0563-22,44:12:44:6a:eb:00,IllinoisNet

wap-0563-23,44:12:44:6c:c7:01,eduroam

wap-0563-23,44:12:44:6c:c7:00,IllinoisNet

wap-0563-23,44:12:44:6c:c7:02,IllinoisNet_Guest

wap-0563-23,44:12:44:6c:c6:e1,eduroam

wap-0563-23,44:12:44:6c:c6:e2,IllinoisNet_Guest

wap-0563-23,44:12:44:6c:c6:e0,IllinoisNet

wap-0563-24,44:12:44:6a:58:82,IllinoisNet_Guest

wap-0563-24,44:12:44:6a:58:81,eduroam

wap-0563-24,44:12:44:6a:58:80,IllinoisNet

wap-0563-24,44:12:44:6a:58:62,IllinoisNet_Guest

wap-0563-24,44:12:44:6a:58:61,eduroam

wap-0563-24,44:12:44:6a:58:60,IllinoisNet

wap-0563-25,44:12:44:69:9d:f0,IllinoisNet

wap-0563-25,44:12:44:69:9d:f1,eduroam

wap-0563-25,44:12:44:69:9d:f2,IllinoisNet_Guest

wap-0563-25,44:12:44:69:9d:d0,IllinoisNet

wap-0563-25,44:12:44:69:9d:d1,eduroam

wap-0563-25,44:12:44:69:9d:d2,IllinoisNet_Guest

wap-0563-26,44:12:44:69:be:32,IllinoisNet_Guest

wap-0563-26,44:12:44:69:be:31,eduroam

wap-0563-26,44:12:44:69:be:30,IllinoisNet

wap-0563-26,44:12:44:69:be:10,IllinoisNet

wap-0563-26,44:12:44:69:be:12,IllinoisNet_Guest

wap-0563-26,44:12:44:69:be:11,eduroam

wap-0563-27,44:12:44:6e:2a:20,IllinoisNet

wap-0563-27,44:12:44:6e:2a:21,eduroam

wap-0563-27,44:12:44:6e:2a:22,IllinoisNet_Guest

wap-0563-27,44:12:44:6e:2a:00,IllinoisNet

wap-0563-27,44:12:44:6e:2a:02,IllinoisNet_Guest

wap-0563-27,44:12:44:6e:2a:01,eduroam

wap-0563-28,44:12:44:69:55:30,IllinoisNet

wap-0563-28,44:12:44:69:55:31,eduroam

wap-0563-28,44:12:44:69:55:32,IllinoisNet_Guest

wap-0563-28,44:12:44:69:55:12,IllinoisNet_Guest

wap-0563-28,44:12:44:69:55:10,IllinoisNet

wap-0563-28,44:12:44:69:55:11,eduroam

wap-0563-29,44:12:44:6d:92:a0,IllinoisNet

wap-0563-29,44:12:44:6d:92:a1,eduroam

wap-0563-29,44:12:44:6d:92:a2,IllinoisNet_Guest

wap-0563-29,44:12:44:6d:92:82,IllinoisNet_Guest

wap-0563-29,44:12:44:6d:92:81,eduroam

wap-0563-29,44:12:44:6d:92:80,IllinoisNet

wap-0563-30,44:12:44:6e:2f:32,IllinoisNet_Guest

wap-0563-30,44:12:44:6e:2f:31,eduroam

wap-0563-30,44:12:44:6e:2f:30,IllinoisNet

wap-0563-30,44:12:44:6e:2f:12,IllinoisNet_Guest

wap-0563-30,44:12:44:6e:2f:11,eduroam

wap-0563-30,44:12:44:6e:2f:10,IllinoisNet

wap-0563-31,44:12:44:6a:57:f0,IllinoisNet

wap-0563-31,44:12:44:6a:57:f2,IllinoisNet_Guest

wap-0563-31,44:12:44:6a:57:f1,eduroam

wap-0563-31,44:12:44:6a:57:d0,IllinoisNet

wap-0563-31,44:12:44:6a:57:d2,IllinoisNet_Guest

wap-0563-31,44:12:44:6a:57:d1,eduroam

wap-0563-32,44:12:44:6e:07:70,IllinoisNet

