Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-152,44:12:44:6c:78:b0,IllinoisNet

wap-0563-153,44:12:44:6a:f1:b2,IllinoisNet_Guest

wap-0563-153,44:12:44:6a:f1:b0,IllinoisNet

wap-0563-153,44:12:44:6a:f1:b1,eduroam

wap-0563-153,44:12:44:6a:f1:90,IllinoisNet

wap-0563-153,44:12:44:6a:f1:91,eduroam

wap-0563-153,44:12:44:6a:f1:92,IllinoisNet_Guest

wap-0563-154,44:12:44:6b:e4:52,IllinoisNet_Guest

wap-0563-154,44:12:44:6b:e4:51,eduroam

wap-0563-154,44:12:44:6b:e4:50,IllinoisNet

wap-0563-154,44:12:44:6b:e4:32,IllinoisNet_Guest

wap-0563-154,44:12:44:6b:e4:31,eduroam

wap-0563-154,44:12:44:6b:e4:30,IllinoisNet

wap-0563-155,44:12:44:6d:35:a1,eduroam

wap-0563-155,44:12:44:6d:35:a2,IllinoisNet_Guest

wap-0563-155,44:12:44:6d:35:a0,IllinoisNet

wap-0563-155,44:12:44:6d:35:81,eduroam

wap-0563-155,44:12:44:6d:35:82,IllinoisNet_Guest

wap-0563-155,44:12:44:6d:35:80,IllinoisNet

wap-0563-156,44:12:44:69:fb:82,IllinoisNet_Guest

wap-0563-156,44:12:44:69:fb:80,IllinoisNet

wap-0563-156,44:12:44:69:fb:81,eduroam

wap-0563-156,44:12:44:69:fb:62,IllinoisNet_Guest

wap-0563-156,44:12:44:69:fb:61,eduroam

wap-0563-156,44:12:44:69:fb:60,IllinoisNet

wap-0563-157,44:12:44:6e:2d:e0,IllinoisNet

wap-0563-157,44:12:44:6e:2d:e1,eduroam

wap-0563-157,44:12:44:6e:2d:e2,IllinoisNet_Guest

wap-0563-157,44:12:44:6e:2d:c0,IllinoisNet

wap-0563-157,44:12:44:6e:2d:c1,eduroam

wap-0563-157,44:12:44:6e:2d:c2,IllinoisNet_Guest

wap-0563-158,44:12:44:6d:49:b2,IllinoisNet_Guest

wap-0563-158,44:12:44:6d:49:b0,IllinoisNet

wap-0563-158,44:12:44:6d:49:b1,eduroam

wap-0563-158,44:12:44:6d:49:90,IllinoisNet

wap-0563-158,44:12:44:6d:49:91,eduroam

wap-0563-158,44:12:44:6d:49:92,IllinoisNet_Guest

wap-0563-159,44:12:44:6a:63:c0,IllinoisNet

wap-0563-159,44:12:44:6a:63:c2,IllinoisNet_Guest

wap-0563-159,44:12:44:6a:63:c1,eduroam

wap-0563-159,44:12:44:6a:63:a2,IllinoisNet_Guest

wap-0563-159,44:12:44:6a:63:a1,eduroam

wap-0563-159,44:12:44:6a:63:a0,IllinoisNet

wap-0563-160,44:12:44:6b:ce:c0,IllinoisNet

wap-0563-160,44:12:44:6b:ce:c2,IllinoisNet_Guest

wap-0563-160,44:12:44:6b:ce:c1,eduroam

wap-0563-160,44:12:44:6b:ce:a0,IllinoisNet

wap-0563-160,44:12:44:6b:ce:a2,IllinoisNet_Guest

wap-0563-160,44:12:44:6b:ce:a1,eduroam

wap-0563-161,74:9e:75:45:d3:62,IllinoisNet_Guest

wap-0563-161,74:9e:75:45:d3:60,IllinoisNet

wap-0563-161,74:9e:75:45:d3:61,eduroam

wap-0563-161,74:9e:75:45:d3:41,eduroam

wap-0563-161,74:9e:75:45:d3:42,IllinoisNet_Guest

wap-0563-161,74:9e:75:45:d3:40,IllinoisNet

wap-0563-162,44:12:44:6c:55:c0,IllinoisNet

wap-0563-162,44:12:44:6c:55:c2,IllinoisNet_Guest

wap-0563-162,44:12:44:6c:55:c1,eduroam

wap-0563-162,44:12:44:6c:55:a2,IllinoisNet_Guest

wap-0563-162,44:12:44:6c:55:a1,eduroam

wap-0563-162,44:12:44:6c:55:a0,IllinoisNet

wap-0563-163,94:64:24:9b:07:80,IllinoisNet

wap-0563-163,94:64:24:9b:07:81,eduroam

wap-0563-163,94:64:24:9b:07:82,IllinoisNet_Guest

wap-0563-163,94:64:24:9b:07:60,IllinoisNet

wap-0563-163,94:64:24:9b:07:61,eduroam

wap-0563-163,94:64:24:9b:07:62,IllinoisNet_Guest

wap-0563-164,44:12:44:6c:3b:50,IllinoisNet

wap-0563-164,44:12:44:6c:3b:51,eduroam

wap-0563-164,44:12:44:6c:3b:52,IllinoisNet_Guest

wap-0563-164,44:12:44:6c:3b:30,IllinoisNet

wap-0563-164,44:12:44:6c:3b:32,IllinoisNet_Guest

wap-0563-164,44:12:44:6c:3b:31,eduroam

wap-0563-165,44:12:44:6a:09:90,IllinoisNet

wap-0563-165,44:12:44:6a:09:91,eduroam

wap-0563-165,44:12:44:6a:09:92,IllinoisNet_Guest

wap-0563-165,44:12:44:6a:09:72,IllinoisNet_Guest

wap-0563-165,44:12:44:6a:09:70,IllinoisNet

wap-0563-165,44:12:44:6a:09:71,eduroam

wap-0563-166,44:12:44:6c:3b:20,IllinoisNet

wap-0563-166,44:12:44:6c:3b:21,eduroam

wap-0563-166,44:12:44:6c:3b:22,IllinoisNet_Guest

wap-0563-166,44:12:44:6c:3b:00,IllinoisNet

wap-0563-166,44:12:44:6c:3b:01,eduroam

wap-0563-166,44:12:44:6c:3b:02,IllinoisNet_Guest

wap-0563-167,44:12:44:6d:1e:f2,IllinoisNet_Guest

wap-0563-167,44:12:44:6d:1e:f0,IllinoisNet

wap-0563-167,44:12:44:6d:1e:f1,eduroam

wap-0563-167,44:12:44:6d:1e:d0,IllinoisNet

wap-0563-167,44:12:44:6d:1e:d1,eduroam

wap-0563-167,44:12:44:6d:1e:d2,IllinoisNet_Guest

wap-0563-168,44:12:44:6e:b9:c0,IllinoisNet

wap-0563-168,44:12:44:6e:b9:c2,IllinoisNet_Guest

wap-0563-168,44:12:44:6e:b9:c1,eduroam

wap-0563-168,44:12:44:6e:b9:a2,IllinoisNet_Guest

wap-0563-168,44:12:44:6e:b9:a1,eduroam

wap-0563-168,44:12:44:6e:b9:a0,IllinoisNet

wap-0563-169,94:64:24:c4:22:f0,IllinoisNet

wap-0563-169,94:64:24:c4:22:f1,eduroam

wap-0563-169,94:64:24:c4:22:f2,IllinoisNet_Guest

wap-0563-169,94:64:24:c4:22:d0,IllinoisNet

wap-0563-169,94:64:24:c4:22:d1,eduroam

wap-0563-169,94:64:24:c4:22:d2,IllinoisNet_Guest

wap-0563-170,44:12:44:6d:08:70,IllinoisNet

wap-0563-170,44:12:44:6d:08:71,eduroam

wap-0563-170,44:12:44:6d:08:72,IllinoisNet_Guest

wap-0563-170,44:12:44:6d:08:52,IllinoisNet_Guest

wap-0563-170,44:12:44:6d:08:51,eduroam

wap-0563-170,44:12:44:6d:08:50,IllinoisNet

wap-0563-171,44:12:44:6c:85:91,eduroam

wap-0563-171,44:12:44:6c:85:90,IllinoisNet

wap-0563-171,44:12:44:6c:85:92,IllinoisNet_Guest

wap-0563-171,44:12:44:6c:85:70,IllinoisNet

wap-0563-171,44:12:44:6c:85:71,eduroam

wap-0563-171,44:12:44:6c:85:72,IllinoisNet_Guest

