SSID,BSSID,Signal Strength,current BSSID,x,y
IllinoisNet,44:12:44:6c:50:80,-74.33333333333333,0,131,491
IllinoisNet,44:12:44:6c:50:80,-72.33333333333333,0,132,394
IllinoisNet,44:12:44:6c:50:80,-57.333333333333336,0,131,269
IllinoisNet,44:12:44:6c:50:80,-67.66666666666667,0,232,244
IllinoisNet,44:12:44:6c:50:80,-53.333333333333336,0,225,176
IllinoisNet,44:12:44:6c:50:80,-65.33333333333333,0,290,201
IllinoisNet,44:12:44:6c:50:80,-68.66666666666667,0,290,296
IllinoisNet,44:12:44:6c:50:80,-72.0,0,264,395
IllinoisNet,44:12:44:6c:50:80,-80.0,0,241,495
